Date,Open,High,Low,Close,Volume
15-Jun-16,9.80,10.23,9.64,9.82,4891929
14-Jun-16,9.84,10.07,9.53,9.71,4451815
13-Jun-16,9.91,10.30,9.85,9.97,4395228
10-Jun-16,10.79,10.79,10.24,10.26,3959470
9-Jun-16,10.89,10.96,10.77,10.90,3198750
8-Jun-16,11.15,11.29,10.91,11.06,3941359
7-Jun-16,10.94,11.10,10.75,11.07,3850203
6-Jun-16,10.70,11.00,10.39,10.92,4564156
3-Jun-16,11.00,11.00,10.66,10.72,5973095
2-Jun-16,10.28,10.75,10.23,10.72,5079770
1-Jun-16,10.16,10.32,9.92,10.32,4875741
31-May-16,10.27,10.51,10.10,10.27,5931026
27-May-16,9.99,10.22,9.72,10.20,5134503
26-May-16,10.20,10.24,9.77,9.98,6182163
25-May-16,9.82,10.18,9.71,10.08,6070206
24-May-16,9.91,10.08,9.63,9.71,9489267
23-May-16,9.20,9.60,9.20,9.26,5695517
20-May-16,8.92,9.20,8.75,9.15,5923262
19-May-16,8.75,8.90,8.62,8.85,5952748
18-May-16,8.94,9.12,8.77,8.80,4775633
17-May-16,8.98,9.23,8.85,8.99,4353234
16-May-16,9.05,9.26,8.80,8.93,5746671
13-May-16,8.89,9.42,8.76,8.88,7735894
12-May-16,9.51,9.55,8.79,8.82,10012433
11-May-16,9.83,9.85,9.41,9.46,7676686
10-May-16,9.87,9.99,9.43,9.82,6620939
9-May-16,10.45,10.60,9.75,9.78,10674944
6-May-16,9.93,10.65,9.81,10.46,14509680
5-May-16,11.39,11.55,10.67,10.71,11500506
4-May-16,11.54,11.79,11.17,11.40,6156830
3-May-16,12.10,12.12,11.45,11.65,6217962
2-May-16,12.56,12.64,12.00,12.23,6264448
29-Apr-16,13.02,13.14,12.41,12.64,5355924
28-Apr-16,13.24,13.35,12.91,12.94,5096664
27-Apr-16,12.94,13.43,12.80,13.30,4667245
26-Apr-16,12.86,13.24,12.53,13.18,5285915
25-Apr-16,13.71,13.80,12.67,12.82,11064324
22-Apr-16,13.53,14.18,13.50,13.98,6603049
21-Apr-16,13.52,13.82,13.32,13.56,5316601
20-Apr-16,13.09,13.77,12.90,13.44,8372144
